Method,MAE,RMSE,Model
Cosine,0.8199768328097525,1.0838828213485046,User Based
Pearson,0.8433047877048891,1.1033535110884882,User Based
Cosine,0.8296451653302063,1.1023398880894113,Item Based
Pearson,0.8475546191892389,1.1173170859429598,Item Based
SVD,0.7406330992922235,0.9582743937219989,SVD
